extensions,hash
psc1,63082967
dot,93485219
pdb,161292181
pol,231861081
wsf,238832031
bak,311698538
mdn,349528989
js,398963028
cdb,402457276
mdf,437185455
ldb,480331137
mdb,493039542
pot,515732239
hlp,549983773
wbk,592713266
xll,686811426
lck,708602850
chm,737628193
tmp,753892680
cmd,794565824
mp3,799119745
vbs,838526035
xlt,998470004
dll,1037284150
msh1,1111869278
scf,1140323090
wma,1142547427
vhd,1220970782
wps,1221394103
ppkg,1263882567
pps,1300490290
ppam,1366249683
xla,1449039263
scr,1496131439
xlm,1609095604
iso,1633189697
z,1657960367
reg,1667763765
com,1689700070
ps2,1735772919
xlsb,1772900202
cab,1787492089
rar,1792618458
exe,1801697008
tar,1851020136
msc,1877449654
vhdx,1989930345
jar,2028789010
wsc,2119613712
xlam,2179408424
ps1xml,2192615624
mde,2198321685
jse,2211129350
mda,2221571596
doc,2252471652
lock,2274335502
ade,2317173617
mshxml,2348677541
msi,2402448040
ps2xml,2416248614
psc2,2597044333
vb,2600520955
msu,2603822823
bat,2677811615
xlw,2726961358
application,2757483969
xls,2783438039
manifest,2801428544
bz2,2836727456
ocx,2898564197
pif,3143542209
img,3150104748
vbe,3308146946
ace,3311195574
cs,3322219037
msh2xml,3345907939
hta,3361975990
sln,3400820719
ppt,3555163537
config,3565825916
msh1xml,3587911437
extensions,3589315753
msh2,3679229668
gz,3686102973
cpl,3740006638
adp,3888162714
inf,3890785273
ws,3903577416
wsh,3917767832
mdt,3921124071
msp,3948534376
mst,3962838641
resources,4016499630
ost,4021340703
csproj,4070090180
resx,4104285691
msh,4164239934
pst,4173999698
pkg,4268750805
ps1,4269579085
